Retailer,Scope,L1,L2,L3,L4,L5,L6,Count,Level,Category ID,Count Source,Node Type,Sub-categories,Has Deeper Levels,Name Source,Found In,URL,Notes
Michaels,Planning & Craft Organization,Office Supplies,Calendars & Planners,Wall Calendars,,,,638,3,20001812,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/calendars-planners/wall-calendars,
Michaels,Labels & Packaging Accessories,Office Supplies,Packing & Shipping,,,,,1212,2,832737020,"Michaels live, 25 Sep 2026",Category,5,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/packing-shipping,
Michaels,Labels & Packaging Accessories,Office Supplies,Packing & Shipping,Boxes,,,,646,3,20002951,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/packing-shipping/boxes,
Michaels,Labels & Packaging Accessories,Office Supplies,Packing & Shipping,Envelopes,,,,64,3,20002364,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/packing-shipping/envelopes,
Michaels,Labels & Packaging Accessories,Office Supplies,Packing & Shipping,Mailers,,,,207,3,20002895,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/packing-shipping/mailers,
Michaels,Labels & Packaging Accessories,Office Supplies,Packing & Shipping,Mailing Labels,,,,156,3,20002579,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/packing-shipping/mailing-labels,
Michaels,Labels & Packaging Accessories,Office Supplies,Packing & Shipping,Packing Supplies,,,,46,3,20002366,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/office-supplies/packing-shipping/packing-supplies,
Michaels,Labels & Packaging Accessories / Planning & Craft Organization,Papercraft,,,,,,,1,809188524,,Department (parent of scope),2,No,Michaels category taxonomy,Parent of scope,https://www.michaels.com/shop/papercraft,
Michaels,Planning & Craft Organization,Papercraft,Planners,,,,,,2,809188563,,Landing page,8,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners,"Landing page (category tiles, no product grid)"
Michaels,Planning & Craft Organization,Papercraft,Planners,Calendars,,,,638,3,20001674,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/calendars,Page breadcrumb files it under: Office Supplies > Calendars Planners > Wall Calendars
Michaels,Planning & Craft Organization,Papercraft,Planners,Collections,,,,30,3,20000908,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/collections,
Michaels,Planning & Craft Organization,Papercraft,Planners,Journals & Notebooks,,,,247,3,20000912,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/journals-notebooks,Page breadcrumb files it under: Art Supplies > Paper Drawing Pads > Journals
Michaels,Planning & Craft Organization,Papercraft,Planners,Monthly Planners,,,,113,3,20002134,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/monthly-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Specialized Planners,,,,896,3,20002642,"Michaels live, 25 Sep 2026",Category,7,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/specialized-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Specialized Planners,Academic Year Planners,,,755,4,20002645,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/specialized-planners/academic-year-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Specialized Planners,Faith & Self-Improvement Planners,,,1,4,20002648,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/specialized-planners/faith-self-improvement-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Specialized Planners,Fitness Planners,,,2,4,20002643,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/specialized-planners/fitness-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Specialized Planners,Hourly Planners,,,2,4,20002647,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/specialized-planners/hourly-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Specialized Planners,Recipe & Meal Planning,,,12,4,20002252,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/specialized-planners/recipe-meal-planning,
Michaels,Planning & Craft Organization,Papercraft,Planners,Specialized Planners,Teacher Planners,,,73,4,1406472170,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/specialized-planners/teacher-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Specialized Planners,Wedding Planners,,,25,4,20002646,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/specialized-planners/wedding-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Stickers & Accessories,,,,4412,3,809188565,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/stickers-accessories,
Michaels,Planning & Craft Organization,Papercraft,Planners,The Happy Planner,,,,194,3,865290304,"Michaels live, 25 Sep 2026",Category,3,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/the-happy-planner,
Michaels,Planning & Craft Organization,Papercraft,Planners,The Happy Planner,Calendars,,,168,4,20002162,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/the-happy-planner/calendars,
Michaels,Planning & Craft Organization,Papercraft,Planners,The Happy Planner,Companion Accessories,,,161,4,955840111,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/the-happy-planner/companion-accessories,
Michaels,Planning & Craft Organization,Papercraft,Planners,The Happy Planner,Planner Books,,,32,4,955839071,"Michaels live, 25 Sep 2026",Category,2,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/the-happy-planner/planner-books,
Michaels,Planning & Craft Organization,Papercraft,Planners,The Happy Planner,Planner Books,Big Planners,,7,5,955847001,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/the-happy-planner/planner-books/big-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,The Happy Planner,Planner Books,Classic Planners,,16,5,955843679,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/the-happy-planner/planner-books/classic-planners,
Michaels,Planning & Craft Organization,Papercraft,Planners,Weekly Planners,,,,277,3,20002133,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/planners/weekly-planners,
Michaels,Labels & Packaging Accessories,Papercraft,Stickers,,,,,9822,2,20002107,"Michaels live, 25 Sep 2026",Department (parent of scope),1,No,Michaels category taxonomy,Parent of scope,https://www.michaels.com/shop/papercraft/stickers,
Michaels,Labels & Packaging Accessories,Papercraft,Stickers,Organization & Labels,,,,126,3,20002115,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/papercraft/stickers/organization-labels,
Michaels,Planning & Craft Organization,Storage,,,,,,,1,917100822,,Department (parent of scope),7,No,Michaels category taxonomy,Parent of scope,https://www.michaels.com/shop/storage,
Michaels,Planning & Craft Organization,Storage,Art Storage,,,,,46,2,917101369,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/art-storage,
Michaels,Planning & Craft Organization,Storage,Bead and Jewelry Storage,,,,,24,2,917102836,"Michaels live, 25 Sep 2026",Category,0,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/bead-jewelry-storage,Page breadcrumb files it under: Storage > Bead Jewelry Storage
Michaels,Planning & Craft Organization,Storage,Craft Storage,,,,,2051,2,809188640,"Michaels live, 25 Sep 2026",Category,10,No,Michaels category taxonomy,Category taxonomy + category page,https://www.michaels.com/shop/storage/craft-storage,
